number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dropout,params_layers,params_loss,params_max_lr,params_pct_start,params_weight_decay,params_width,user_attrs_constraint_adjusted_dropout,state
90,1.309035313129425,2025-10-13 20:02:33.573885,2025-10-13 20:02:54.417541,0 days 00:00:20.843656,gelu,64,0.0,5,huber,0.001125321743818404,0.3723644123026466,4.790709384214284e-06,128,,COMPLETE
91,1.2557643055915833,2025-10-13 20:02:54.517627,2025-10-13 20:03:19.225937,0 days 00:00:24.708310,gelu,64,0.0,5,huber,0.0008072679946939863,0.3823983556315919,2.1167380320192025e-05,128,,COMPLETE
92,1.2671632647514344,2025-10-13 20:03:19.324825,2025-10-13 20:03:45.360061,0 days 00:00:26.035236,gelu,64,0.0,5,huber,0.0008951043352450628,0.3821929687191351,2.0456683116109227e-05,128,,COMPLETE
93,1.2463985085487366,2025-10-13 20:03:45.459151,2025-10-13 20:04:10.836648,0 days 00:00:25.377497,gelu,64,0.0,5,huber,0.000889381608965187,0.3818093633046628,2.0608442740988267e-05,128,,COMPLETE
94,1.2765110850334167,2025-10-13 20:04:10.935836,2025-10-13 20:04:35.552402,0 days 00:00:24.616566,gelu,64,0.0,5,huber,0.0008942091757967461,0.3780438709673377,2.2624533320673867e-05,128,,COMPLETE
95,1.5149872779846192,2025-10-13 20:04:35.651428,2025-10-13 20:05:04.680734,0 days 00:00:29.029306,gelu,64,0.3,5,huber,0.001169135041472059,0.34738363518455523,1.4065105256362479e-05,128,,COMPLETE
96,1.373475468158722,2025-10-13 20:05:04.779722,2025-10-13 20:06:20.978903,0 days 00:01:16.199181,gelu,16,0.0,5,mae,0.0010546588618453331,0.38259217705839554,1.0190289484562712e-05,128,,COMPLETE
97,1.4222814559936523,2025-10-13 20:06:21.081935,2025-10-13 20:06:49.486078,0 days 00:00:28.404143,gelu,64,0.2,5,huber,0.001369526763922284,0.36687549875378644,2.038152412380512e-05,128,,COMPLETE
98,1.2521441221237182,2025-10-13 20:06:49.586676,2025-10-13 20:07:12.100094,0 days 00:00:22.513418,gelu,64,0.0,5,huber,0.0009957698908115696,0.3625452607401404,1.6810777682176777e-05,128,,COMPLETE
99,1.245245921611786,2025-10-13 20:07:12.198838,2025-10-13 20:07:37.351797,0 days 00:00:25.152959,gelu,64,0.0,5,huber,0.0009518422212505762,0.3605734529574361,1.5684454140958693e-05,128,,COMPLETE
100,1.2554114937782288,2025-10-13 20:07:37.450801,2025-10-13 20:08:03.080006,0 days 00:00:25.629205,gelu,64,0.0,5,huber,0.0009965222326981213,0.3601954551830128,1.589334879830041e-05,128,,COMPLETE
101,1.2585289835929871,2025-10-13 20:08:03.183189,2025-10-13 20:08:25.169225,0 days 00:00:21.986036,gelu,64,0.0,5,huber,0.00093690796060265,0.3585462784397918,1.4872240732636183e-05,128,,COMPLETE
102,1.2928155422210694,2025-10-13 20:08:25.267790,2025-10-13 20:08:46.139825,0 days 00:00:20.872035,gelu,64,0.0,5,huber,0.0010921388623967093,0.360561787012783,1.601267766070848e-05,128,,COMPLETE
103,1.2719524145126342,2025-10-13 20:08:46.231615,2025-10-13 20:09:09.175148,0 days 00:00:22.943533,gelu,64,0.0,5,huber,0.0009895950414892834,0.3462582899920903,1.1793252647598906e-05,128,,COMPLETE
104,1.2691050887107849,2025-10-13 20:09:09.273844,2025-10-13 20:09:33.172222,0 days 00:00:23.898378,gelu,64,0.0,5,huber,0.0009419455259696597,0.350747354047636,1.428986478045299e-05,128,,COMPLETE
105,1.2585822224617005,2025-10-13 20:09:33.272363,2025-10-13 20:09:56.280162,0 days 00:00:23.007799,gelu,64,0.0,5,huber,0.0010111748700327423,0.3363852373914171,8.783759126706391e-06,128,,COMPLETE
106,1.2443621397018432,2025-10-13 20:09:56.379467,2025-10-13 20:10:20.139871,0 days 00:00:23.760404,gelu,64,0.0,5,huber,0.0010124270006719432,0.34088983081580454,8.769957596994547e-06,128,,COMPLETE
107,1.2513938546180725,2025-10-13 20:10:20.239354,2025-10-13 20:10:45.431077,0 days 00:00:25.191723,gelu,64,0.0,5,huber,0.0010321692424509078,0.34078381406163877,8.685864747378045e-06,128,,COMPLETE
108,1.2685114979743957,2025-10-13 20:10:45.531865,2025-10-13 20:11:08.479227,0 days 00:00:22.947362,gelu,64,0.0,5,huber,0.0010135284155653238,0.3387534516634457,5.998148447022937e-06,128,,COMPLETE
109,1.2708957195281982,2025-10-13 20:11:08.580675,2025-10-13 20:11:31.829448,0 days 00:00:23.248773,gelu,64,0.0,5,huber,0.001032283023763759,0.33636970804699234,8.389113548999127e-06,128,,COMPLETE
110,1.284014916419983,2025-10-13 20:11:31.953325,2025-10-13 20:12:12.440799,0 days 00:00:40.487474,gelu,32,0.0,5,huber,0.0009600159130149435,0.35629846721224795,8.80426217348508e-06,128,,COMPLETE
111,1.2429136991500855,2025-10-13 20:12:12.541710,2025-10-13 20:12:40.591352,0 days 00:00:28.049642,gelu,64,0.0,5,huber,0.0009309519927505229,0.34277203441331855,1.105661785478559e-05,128,,COMPLETE
112,1.2791117191314698,2025-10-13 20:12:40.691801,2025-10-13 20:13:03.936038,0 days 00:00:23.244237,gelu,64,0.0,5,huber,0.0009244445555363402,0.3331771249479968,1.0894244599611844e-05,128,,COMPLETE
113,1.2641594052314757,2025-10-13 20:13:04.036696,2025-10-13 20:13:27.560564,0 days 00:00:23.523868,gelu,64,0.0,5,huber,0.0011554190266335792,0.322375080097542,1.3595121118006311e-05,128,,COMPLETE
114,1.2525957226753235,2025-10-13 20:13:27.665622,2025-10-13 20:13:51.548005,0 days 00:00:23.882383,gelu,64,0.0,5,huber,0.0010836375949905693,0.34328913203918676,1.647324299548402e-05,128,,COMPLETE
115,1.26318861246109,2025-10-13 20:13:51.648684,2025-10-13 20:14:17.263602,0 days 00:00:25.614918,gelu,64,0.0,5,huber,0.0010802151641494788,0.34334374890486835,1.688275540315372e-05,128,,COMPLETE
116,1.35345960855484,2025-10-13 20:14:17.363935,2025-10-13 20:14:36.455471,0 days 00:00:19.091536,gelu,64,0.0,2,huber,0.0009351203811710219,0.34937450928547914,2.5345947796846705e-05,256,True,COMPLETE
117,1.4856021761894227,2025-10-13 20:14:36.539062,2025-10-13 20:15:07.333858,0 days 00:00:30.794796,gelu,64,0.3,5,huber,0.0012459356484369397,0.35186545288073046,1.0721891608534766e-05,128,,COMPLETE
118,1.3307240962982179,2025-10-13 20:15:07.434192,2025-10-13 20:16:34.466068,0 days 00:01:27.031876,gelu,16,0.0,5,huber,0.000966195167052564,0.357682197159713,1.6592060164170873e-05,128,,COMPLETE
119,1.4393739700317383,2025-10-13 20:16:34.566776,2025-10-13 20:17:06.261662,0 days 00:00:31.694886,gelu,64,0.2,5,huber,0.0008769181428767705,0.31739069427245575,1.2693115073755631e-05,128,,COMPLETE
120,1.2567423105239868,2025-10-13 20:17:06.362278,2025-10-13 20:17:32.037079,0 days 00:00:25.674801,gelu,64,0.0,5,huber,0.0010920458512250434,0.36356272372698245,4.02579691334871e-06,128,,COMPLETE
121,1.2753750681877136,2025-10-13 20:17:32.137820,2025-10-13 20:17:54.504962,0 days 00:00:22.367142,gelu,64,0.0,5,huber,0.0011048322724234356,0.36147752117846443,2.6426661483231045e-05,128,,COMPLETE
